id,title,overview,genres,cast,director,keywords,vote_average,popularity
135397,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","Action,Adventure,Science Fiction,Thriller","Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Nick Robinson",Colin Trevorrow,"monster,dna,tyrannosaurus rex,velociraptor,island",6.5,32.985763
76341,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.","Action,Adventure,Science Fiction,Thriller","Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Josh Helman",George Miller,"future,chase,post-apocalyptic,dystopia,australia",7.1,28.419936
262500,Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,"Adventure,Science Fiction,Thriller","Shailene Woodley,Theo James,Kate Winslet,Ansel Elgort,Miles Teller",Robert Schwentke,"based on novel,revolution,dystopia,sequel,dystopic future",6.3,13.112507
140607,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.","Action,Adventure,Science Fiction,Fantasy","Harrison Ford,Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley",J.J. Abrams,"android,spaceship,jedi,space opera,3d",7.5,11.173104
168259,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"Action,Crime,Thriller","Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez,Dwayne Johnson",James Wan,"car race,speed,revenge,suspense,car",7.3,9.335014
281957,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.","Western,Drama,Adventure,Thriller","Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Paul Anderson",Alejandro GonzÃ¡lez IÃ±Ã¡rritu,"father-son relationship,rape,based on novel,mountains,winter",7.2,9.1107
87101,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.","Science Fiction,Action,Thriller,Adventure","Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons",Alan Taylor,"saving the world,artificial intelligence,cyborg,killer robot,future",5.8,8.654359
286217,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.","Drama,Adventure,Science Fiction","Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels,Michael PeÃ±a",Ridley Scott,"based on novel,mars,nasa,isolation,botanist",7.6,7.6674
211672,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Family,Animation,Adventure,Comedy","Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney,Steve Coogan",Kyle Balda|Pierre Coffin,"assistant,aftercreditsstinger,duringcreditsstinger,evil mastermind,minions",6.5,7.40416499999999
150540,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.","Comedy,Animation,Family","Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black",Pete Docter,"dream,cartoon,imaginary friend,animation,kid",8.0,6.326804
206647,Spectre,"A cryptic message from Bondâ€™s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","Action,Adventure,Crime","Daniel Craig,Christoph Waltz,LÃ©a Seydoux,Ralph Fiennes,Monica Bellucci",Sam Mendes,"spy,based on novel,secret agent,sequel,james bond",6.2,6.200282
76757,Jupiter Ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynastyâ€¦","Science Fiction,Fantasy,Action,Adventure","Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne,Douglas Booth",Lana Wachowski|Lilly Wachowski,"jupiter,space,woman director,3d,interspecies romance",5.2,6.189369
264660,Ex Machina,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.","Drama,Science Fiction","Domhnall Gleeson,Alicia Vikander,Oscar Isaac,Sonoya Mizuno,Corey Johnson",Alex Garland,"dancing,artificial intelligence,helicopter,distrust,isolation",7.6,6.118847
257344,Pixels,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,"Action,Comedy,Science Fiction","Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James",Chris Columbus,"video game,nerd,alien attack,3d,pixels",5.8,5.984995
